,generation,pfit,run
297,2,-4.624972813284271,1
298,2,-4.624972813284271,1
299,2,-4.624972813284271,1
300,3,84.71353194306673,1
301,3,75.47853908213776,1
302,3,75.35455310235676,1
303,3,66.36164533066625,1
304,3,66.10559716573515,1
305,3,57.443171938300466,1
306,3,48.89405452609942,1
307,3,47.81998334634741,1
308,3,39.63402398497815,1
309,3,39.44704041507838,1
310,3,39.31982739098293,1
311,3,37.50002345904788,1
312,3,30.737309811095116,1
313,3,30.737309811095116,1
314,3,30.64341372532799,1
315,3,30.62936197187234,1
316,3,30.624721592315836,1
317,3,30.57065437104556,1
318,3,30.511062273843308,1
319,3,30.48657125383501,1
320,3,30.482547103535293,1
321,3,21.943754194651692,1
322,3,21.918595635015535,1
323,3,21.906249799193237,1
324,3,21.906249799193237,1
325,3,21.906249799193237,1
326,3,21.906249799193237,1
327,3,21.906249799193237,1
328,3,21.906249799193237,1
329,3,21.906249799193237,1
330,3,21.906249799193237,1
331,3,21.906249799193237,1
332,3,21.906249799193237,1
333,3,21.906249799193237,1
334,3,21.906249799193237,1
335,3,21.76355803717005,1
336,3,21.65766574803519,1
337,3,21.61550493721091,1
338,3,21.561920691076804,1
339,3,21.498741789455273,1
340,3,20.9717214797693,1
341,3,20.855814365874355,1
342,3,20.769518552421516,1
343,3,20.386615781620442,1
344,3,13.009567413221264,1
345,3,13.009567413221264,1
346,3,13.002787726235885,1
347,3,12.918595635015537,1
348,3,12.906249799193237,1
349,3,12.906249799193237,1
350,3,12.900133572175797,1
351,3,12.888012211643456,1
352,3,12.864201562949738,1
353,3,12.852505523186544,1
354,3,12.70168263345196,1
355,3,12.615504937210908,1
356,3,12.6109282701835,1
357,3,12.583899597795579,1
358,3,12.548961546434299,1
359,3,12.511062273843313,1
360,3,12.498741789455273,1
361,3,12.45092391510478,1
362,3,12.386871893611929,1
363,3,12.27641489804762,1
364,3,11.89744140538643,1
365,3,11.855814365874355,1
366,3,11.734698787262289,1
367,3,4.272612181287659,1
368,3,4.272612181287659,1
369,3,4.263801551605504,1
370,3,4.109650871778246,1
371,3,4.009567413221264,1
372,3,4.009567413221264,1
373,3,4.009567413221264,1
374,3,4.009567413221264,1
375,3,4.009567413221264,1
376,3,4.009567413221264,1
377,3,4.009567413221264,1
378,3,4.009567413221264,1
379,3,4.009567413221264,1
380,3,4.009567413221264,1
381,3,4.009567413221264,1
382,3,4.009567413221264,1
383,3,4.009567413221264,1
384,3,4.002787726235885,1
385,3,4.002787726235885,1
386,3,4.002787726235885,1
387,3,4.002787726235885,1
388,3,3.9893647059037445,1
389,3,3.9761194791537235,1
390,3,3.9565748830807532,1
