parents,parents_beaten,beaten,p,e,t
0+1 (0.15:0.85),7 & 7,2,[ 0. 70.  0.  0. 63.  0.  0.  0.],[70.  0. 40. 60.  0. 80. 10. 70.],[331 247 337 547 268 348 181 355]
0+1 (0.16:0.84),7 & 7,2,[ 0. 70.  0.  0. 61.  0.  0.  0.],[ 70.   0.  40.  30.   0. 100.  10.  70.],[332 247 338 482 268 279 181 367]
0+1 (0.17:0.83),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[ 70.   0.  40.  60.   0. 100.  10.  60.],[332 247 339 616 267 262 181 416]
0+1 (0.18:0.82),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[ 50.   0.  40.  60.   0. 100.  10.  50.],[331 247 339 480 268 262 181 882]
0+1 (0.19:0.81),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[ 60.   0.  40.  60.   0. 100.  10.  50.],[331 247 339 480 268 262 181 878]
0+1 (0.20:0.80),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[ 60.   0.  40.  40.   0. 100.  10.  70.],[331 247 339 430 268 262 181 336]
0+1 (0.21:0.79),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  40.  60.   0. 100.  10.  70.],[331 247 339 464 268 262 181 360]
0+1 (0.22:0.78),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  40.  60.   0. 100.  10.  70.],[345 247 339 477 268 262 181 355]
0+1 (0.23:0.77),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  40.  60.   0. 100.  10.  70.],[345 247 339 477 268 302 181 341]
0+1 (0.24:0.76),7 & 7,2,[ 0. 70.  0.  0. 69.  0.  0.  0.],[ 70.   0.  40.  70.   0. 100.  10.  70.],[345 247 338 347 268 302 181 357]
0+1 (0.25:0.75),7 & 7,2,[ 0. 70.  0.  0. 67.  0.  0.  0.],[ 70.   0.  40.  70.   0. 100.  10.  70.],[345 247 338 347 268 302 181 357]
0+1 (0.26:0.74),7 & 7,2,[ 0. 70.  0.  0. 68.  0.  0.  0.],[ 70.   0.  40.  70.   0. 100.  10.  70.],[345 247 339 347 268 302 181 357]
0+1 (0.27:0.73),7 & 7,2,[ 0. 70.  0.  0. 63.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[345 247 338 349 268 302 182 357]
0+1 (0.28:0.72),7 & 7,2,[ 0. 70.  0.  0. 63.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[331 247 338 349 268 286 182 357]
0+1 (0.29:0.71),7 & 7,2,[ 0. 70.  0.  0. 63.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[331 247 338 348 268 287 182 357]
0+1 (0.30:0.70),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[331 247 338 348 268 286 182 357]
0+1 (0.31:0.69),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[331 247 338 348 268 301 182 357]
0+1 (0.32:0.68),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 90. 10. 70.],[331 247 338 348 268 297 182 357]
0+1 (0.33:0.67),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 80. 10. 70.],[332 247 338 348 268 282 183 357]
0+1 (0.34:0.66),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 80. 10. 70.],[332 247 338 348 268 267 183 357]
0+1 (0.35:0.65),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 80. 10. 70.],[332 247 338 335 268 285 183 360]
0+1 (0.36:0.64),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  50.  70.   0. 100.  10.  70.],[332 247 338 338 268 234 183 360]
0+1 (0.37:0.63),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 360]
0+1 (0.38:0.62),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 361]
0+1 (0.39:0.61),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 361]
0+1 (0.40:0.60),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 361]
0+1 (0.41:0.59),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  70.],[332 247 338 348 268 236 183 361]
0+1 (0.42:0.58),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 70.],[332 247 338 348 268 251 183 361]
0+1 (0.43:0.57),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 80. 10. 70.],[332 247 337 348 268 263 183 361]
0+1 (0.44:0.56),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 90. 10. 70.],[332 247 337 348 268 249 183 361]
0+1 (0.45:0.55),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 80. 10. 70.],[332 247 337 348 268 249 183 361]
0+1 (0.46:0.54),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 251 183 361]
0+1 (0.47:0.53),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 251 183 361]
0+1 (0.48:0.52),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 361]
0+1 (0.49:0.51),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 361]
0+1 (0.50:0.50),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 361]
0+1 (0.51:0.49),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 337]
0+1 (0.52:0.48),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 334]
0+1 (0.53:0.47),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 348 268 252 183 329]
0+1 (0.54:0.46),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 346 268 252 183 329]
0+1 (0.55:0.45),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 372 268 252 183 309]
0+1 (0.56:0.44),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 268 252 183 362]
0+1 (0.57:0.43),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 268 252 182 367]
0+1 (0.58:0.42),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 268 252 182 310]
0+1 (0.59:0.41),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 268 252 182 309]
0+1 (0.60:0.40),7 & 7,2,[ 0. 70.  0.  0. 66.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 415 267 252 182 308]
0+1 (0.61:0.39),7 & 7,2,[ 0. 70.  0.  0. 64.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 416 268 252 182 308]
0+1 (0.62:0.38),7 & 7,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 416 268 252 181 308]
0+1 (0.63:0.37),7 & 7,2,[ 0. 70.  0.  0. 63.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 416 267 252 181 311]
0+1 (0.64:0.36),7 & 7,2,[ 0. 70.  0.  0. 60.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 247 337 417 294 252 181 311]
0+1 (0.65:0.35),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[332 247 338 417 268 252 181 308]
0+1 (0.66:0.34),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 247 337 417 267 253 181 308]
0+1 (0.67:0.33),7 & 7,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 247 338 417 267 253 181 308]
0+1 (0.68:0.32),7 & 7,2,[ 0. 70.  0.  0. 69.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 247 338 417 268 253 181 309]
0+1 (0.69:0.31),7 & 7,2,[ 0. 78.  0.  0. 63.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 237 338 417 345 253 181 310]
0+1 (0.70:0.30),7 & 7,2,[ 0. 78.  0.  0. 63.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[332 237 337 417 268 253 181 367]
0+1 (0.71:0.29),7 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[332 278 337 417 268 253 181 362]
0+1 (0.72:0.28),7 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[332 278 337 417 268 237 181 309]
0+1 (0.73:0.27),7 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 60.],[332 278 338 417 294 237 180 346]
0+1 (0.74:0.26),7 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 60.],[332 278 335 417 294 237 180 342]
0+1 (0.75:0.25),7 & 7,2,[ 0. 72.  0.  0. 64.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 60.],[332 278 337 417 293 237 180 344]
0+1 (0.76:0.24),7 & 7,2,[ 0. 72.  0.  0. 66.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[332 278 338 417 268 237 180 409]
0+1 (0.77:0.23),7 & 7,2,[ 0. 72.  0.  0. 59.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 60.],[332 278 338 417 424 237 179 340]
0+1 (0.78:0.22),7 & 7,2,[ 0. 72.  0.  0. 68.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 40.],[332 278 338 417 293 237 179 428]
0+1 (0.79:0.21),7 & 7,3,[ 0. 72.  0.  0. 54.  0.  0. 29.],[70.  0. 50. 70.  0. 70. 10.  0.],[332 278 338 425 424 237 179 540]
0+1 (0.80:0.20),7 & 7,3,[ 0. 72.  0.  0. 54.  0.  0. 27.],[70.  0. 60. 70.  0. 70. 10.  0.],[332 278 341 425 424 237 179 509]
0+1 (0.81:0.19),7 & 7,3,[ 0. 72.  0.  0. 74.  0.  0. 33.],[70.  0. 20. 70.  0. 70. 10.  0.],[332 278 454 395 293 237 179 565]
0+1 (0.82:0.18),7 & 7,4,[ 0. 72.  0.  0. 72.  0. 81. 41.],[70.  0. 50. 70.  0. 70.  0.  0.],[332 278 339 425 294 237 171 565]
0+1 (0.83:0.17),7 & 7,4,[ 0. 72.  0.  0. 74.  0. 81. 50.],[70.  0. 40. 70.  0. 70.  0.  0.],[332 278 339 363 268 237 171 411]
0+1 (0.84:0.16),7 & 7,3,[ 0. 72.  0.  0. 68.  0.  0. 55.],[60.  0. 70. 60.  0. 70. 10.  0.],[331 278 228 579 294 237 177 475]
0+1 (0.85:0.15),7 & 7,3,[ 0. 72.  0.  0. 67.  0.  0. 61.],[60.  0. 80. 70.  0. 70. 10.  0.],[331 278 225 412 294 259 175 410]
0+1 (0.86:0.14),7 & 7,3,[ 0. 72.  0.  0. 67.  0.  0. 49.],[60.  0. 60. 60.  0. 70. 90.  0.],[331 278 225 401 294 275  30 540]
0+1 (0.87:0.13),7 & 7,3,[ 0. 74.  0.  0. 75.  0.  0. 54.],[60.  0. 80. 60.  0. 70. 90.  0.],[332 288 225 414 268 250  30 539]
0+1 (0.88:0.12),7 & 7,3,[ 0. 74.  0.  0. 76.  0.  0. 32.],[70.  0. 80. 60.  0. 70. 90.  0.],[331 288 227 509 268 250  30 525]
0+1 (0.89:0.11),7 & 7,3,[ 0. 72.  8.  0. 80.  0.  0.  0.],[70.  0.  0. 60.  0. 70. 90. 10.],[332 288 496 510 229 250  30 814]
0+1 (0.90:0.10),7 & 7,3,[ 0. 72.  8.  0. 84.  0.  0.  0.],[70.  0.  0. 60.  0. 70. 90. 20.],[332 288 496 508 227 248  30 978]
0+1 (0.91:0.09),7 & 7,3,[ 0. 72.  0.  0. 74.  0.  0.  6.],[60.  0. 10. 60.  0. 70. 90.  0.],[332 278 457 390 268 248  30 838]
0+1 (0.92:0.08),7 & 7,3,[ 0. 76. 28.  0. 74.  0.  0.  0.],[60.  0.  0. 60.  0. 70. 90. 10.],[400 247 486 492 268 248  30 811]
0+1 (0.93:0.07),7 & 7,3,[ 0. 76. 24.  0. 81.  0.  0.  0.],[70.  0.  0. 60.  0. 70. 90. 20.],[332 247 486 493 228 264  28 702]
0+1 (0.94:0.06),7 & 7,4,[ 0. 72. 18.  0. 86.  0.  0. 15.],[ 60.   0.   0.  60.   0.  70. 100.   0.],[400 288 461 485 226 264  25 718]
0+1 (0.95:0.05),7 & 7,3,[ 0.  0. 18.  0. 87.  0.  0. 21.],[ 60.  10.   0.  60.   0.  70. 100.   0.],[387 374 461 493 226 262  25 717]
0+1 (0.96:0.04),7 & 7,3,[ 0.  0. 24.  0. 81.  0.  0. 48.],[ 40.  20.   0.  40.   0.  70. 100.   0.],[345 361 487 581 265 262  25 496]
0+1 (0.97:0.03),7 & 7,3,[ 0.  0. 24.  0. 89.  0.  0.  9.],[ 30.  20.   0.  40.   0.  80. 100.   0.],[345 364 497 581 265 277  25 899]
0+1 (0.98:0.02),7 & 7,4,[ 0. 68. 24.  0. 80.  0.  0. 37.],[ 40.   0.   0.  10.   0.  70. 100.   0.],[385 288 497 781 240 326  25 633]
0+1 (0.99:0.01),7 & 7,4,[ 0. 70. 22.  0. 78.  0.  0. 29.],[ 30.   0.   0.  70.   0.  60. 100.   0.],[400 278 486 531 240 515  25 643]
0+2 (0.01:0.99),7 & 6,5,[ 0. 72. 30.  0. 66.  0. 91. 59.],[70.  0.  0. 30.  0. 50.  0.  0.],[365 258 474 758 294 366 150 331]
0+2 (0.02:0.98),7 & 6,5,[ 0. 78. 30.  0. 66.  0. 91. 60.],[70.  0.  0. 40.  0. 70.  0.  0.],[365 258 474 823 294 354 150 331]
0+2 (0.03:0.97),7 & 6,6,[ 0. 74. 30. 14. 66.  0. 91. 60.],[70.  0.  0.  0.  0. 50.  0.  0.],[365 258 474 799 294 352 150 331]
0+2 (0.04:0.96),7 & 6,5,[ 0. 76. 30.  0. 66.  0. 91. 60.],[70.  0.  0. 50.  0. 50.  0.  0.],[375 258 474 772 294 323 150 331]
0+2 (0.05:0.95),7 & 6,5,[ 0.  0. 30. 33. 65.  0. 91. 62.],[70. 10.  0.  0.  0. 60.  0.  0.],[ 375  386  474 1151  294  334  150  331]
0+2 (0.06:0.94),7 & 6,3,[ 0.  0. 30.  0. 69.  0.  0. 62.],[70. 20.  0. 20.  0. 50. 30.  0.],[ 375  388  474 1079  294  382  205  331]
0+2 (0.07:0.93),7 & 6,3,[ 0.  0. 30.  0. 55.  0.  0. 62.],[70. 20.  0. 30.  0. 60. 30.  0.],[375 403 474 853 346 290 204 331]
0+2 (0.08:0.92),7 & 6,4,[ 0.  0. 30.  2. 62.  0.  0. 62.],[70. 30.  0.  0.  0. 40. 30.  0.],[375 390 474 959 346 322 204 331]
0+2 (0.09:0.91),7 & 6,4,[ 0.  0. 38. 27. 61.  0.  0. 27.],[70. 40.  0.  0.  0. 60. 50.  0.],[ 375  384  474 1076  346  343  202  580]
0+2 (0.10:0.90),7 & 6,3,[ 0.  0. 20.  0. 59.  0.  0. 23.],[70. 40.  0. 20.  0. 50. 50.  0.],[387 386 509 838 346 269 202 577]
0+2 (0.11:0.89),7 & 6,2,[ 0.  0.  0.  0. 64.  0.  0. 57.],[70. 50. 20. 50.  0. 60. 60.  0.],[387 348 528 605 346 251 204 321]
0+2 (0.12:0.88),7 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 50. 20. 50.  0. 70. 60. 60.],[387 382 531 653 294 163 204 568]
0+2 (0.13:0.87),7 & 6,2,[ 0.  0.  0.  0. 69.  0.  0. 26.],[70. 40. 20. 70.  0. 70. 70.  0.],[387 321 526 390 293 163 202 555]
0+2 (0.14:0.86),7 & 6,1,[ 0.  0.  0.  0. 51.  0.  0.  0.],[70. 60. 30. 80.  0. 80. 90. 60.],[387 323 530 319 449 174  30 295]
0+2 (0.15:0.85),7 & 6,1,[ 0.  0.  0.  0. 68.  0.  0.  0.],[60. 70. 20. 90.  0. 80. 90. 60.],[385 323 528 318 345 170  30 543]
0+2 (0.16:0.84),7 & 6,1,[ 0.  0.  0.  0. 75.  0.  0.  0.],[50. 60. 30. 90.  0. 80. 90. 50.],[387 336 525 318 293 161  30 542]
0+2 (0.17:0.83),7 & 6,1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[70. 60. 50. 80.  0. 80. 90. 80.],[376 334 456 314 346 161  30 348]
0+2 (0.18:0.82),7 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[40. 40. 50. 80.  0. 80. 90. 70.],[387 337 456 314 346 161  30 313]
0+2 (0.19:0.81),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[50. 40. 50. 80.  0. 80. 90. 60.],[386 335 456 317 294 161  30 324]
0+2 (0.20:0.80),7 & 6,1,[ 0.  0.  0.  0. 69.  0.  0.  0.],[50. 50. 50. 80.  0. 80. 90. 60.],[398 330 456 317 268 161  30 324]
0+2 (0.21:0.79),7 & 6,1,[ 0.  0.  0.  0. 68.  0.  0.  0.],[50. 50. 50. 80.  0. 60. 90. 60.],[398 330 456 313 320 201  30 324]
0+2 (0.22:0.78),7 & 6,1,[ 0.  0.  0.  0. 72.  0.  0.  0.],[50. 70. 50. 80.  0. 60. 90. 60.],[398 342 456 313 385 201  30 324]
0+2 (0.23:0.77),7 & 6,1,[ 0.  0.  0.  0. 54.  0.  0.  0.],[50. 70. 50. 80.  0. 80. 90. 60.],[398 342 456 312 644 167  30 322]
0+2 (0.24:0.76),7 & 6,0,[ 0.  0.  0.  0. 41.  0.  0.  0.],[50. 70. 50. 80. 70. 80. 90. 60.],[ 398  342  456  323 1000  165   30  310]
0+2 (0.25:0.75),7 & 6,0,[ 0.  0.  0.  0. 27.  0.  0.  0.],[50. 70. 50. 80. 70. 90. 90. 60.],[ 398  342  456  332 1000  196   35  371]
0+2 (0.26:0.74),7 & 6,1,[ 0.  0.  0.  0. 60.  0.  0.  0.],[50. 70. 50. 80.  0. 90. 90. 60.],[398 342 456 398 502 209  34 368]
0+2 (0.27:0.73),7 & 6,1,[ 0.  0.  0.  0. 88.  0.  0.  0.],[50. 70. 50. 80.  0. 90. 90. 60.],[398 342 456 485 215 234  33 372]
0+2 (0.28:0.72),7 & 6,1,[ 0.  0.  0.  0. 80.  0.  0.  0.],[50. 70. 40. 80.  0. 90. 90. 60.],[398 342 461 485 332 212  33 376]
0+2 (0.29:0.71),7 & 6,1,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  70.  40.  80.   0. 100.  90.  60.],[398 342 461 485 358 222  33 376]
0+2 (0.30:0.70),7 & 6,1,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100.  90.  60.],[398 342 522 485 358 291  33 379]
0+2 (0.31:0.69),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100.  90.  60.],[398 342 522 485 332 241  33 377]
0+2 (0.32:0.68),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 90. 60.],[398 342 522 485 332 332  32 380]
0+2 (0.33:0.67),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 40. 70.],[398 342 522 485 332 332 148 363]
0+2 (0.34:0.66),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 30. 70.],[398 342 522 485 332 330 153 370]
0+2 (0.35:0.65),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 50. 70.],[398 342 522 485 332 313 143 358]
0+2 (0.36:0.64),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 325 140 367]
0+2 (0.37:0.63),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 80. 70.],[398 342 522 485 332 337 141 367]
0+2 (0.38:0.62),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 152 367]
0+2 (0.39:0.61),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 158 367]
0+2 (0.40:0.60),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 195 367]
0+2 (0.41:0.59),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 105 367]
0+2 (0.42:0.58),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 70. 70.],[398 342 522 485 332 366 105 367]
0+2 (0.43:0.57),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 80. 70.],[398 342 522 485 332 345 110 367]
0+2 (0.44:0.56),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[50. 70. 30. 80.  0. 90. 90. 70.],[398 342 522 485 332 345  59 367]
0+2 (0.45:0.55),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.46:0.54),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.47:0.53),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.48:0.52),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.49:0.51),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.50:0.50),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.51:0.49),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.52:0.48),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
0+2 (0.53:0.47),7 & 6,1,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
